Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
8/9/2017,72.199997,74,71.790001,72.706001,72.706001,34460500,71.080002
8/10/2017,72.32,73.330002,70.931999,71.080002,71.080002,35464500,71.573997
8/11/2017,71.393997,72.251999,70.723999,71.573997,71.573997,21829000,72.760002
8/14/2017,72.926003,73.531998,72.519997,72.760002,72.760002,22596000,72.466003
8/15/2017,73.040001,73.098,71.874001,72.466003,72.466003,15425500,72.582001
8/16/2017,72.599998,73.300003,72.503998,72.582001,72.582001,17069000,70.384003
8/17/2017,72.241997,72.660004,70.318001,70.384003,70.384003,25138500,69.491997
8/18/2017,70.582001,70.800003,69.160004,69.491997,69.491997,27041000,67.571999
8/21/2017,69.164001,69.164001,66.370003,67.571999,67.571999,32477000,68.269997
8/22/2017,68.225998,68.447998,67.473999,68.269997,68.269997,21610000,70.554001
8/23/2017,67.797997,70.697998,67.660004,70.554001,70.554001,24772500,70.585999
8/24/2017,70.503998,71.332001,69.947998,70.585999,70.585999,22923500,69.610001
8/25/2017,70.848,71.138,69.459999,69.610001,69.610001,17420000,69.132004
8/28/2017,69.456001,69.470001,67.944,69.132004,69.132004,18820000,69.472
8/29/2017,67.896004,69.809998,67.75,69.472,69.472,20368500,70.636002
8/30/2017,69.933998,70.694,69.400002,70.636002,70.636002,17064500,71.18
8/31/2017,70.709999,71.688004,70.564003,71.18,71.18,20364000,71.080002
9/1/2017,71.223999,71.517998,70.737999,71.080002,71.080002,15247500,69.917999
9/5/2017,70.760002,71.098,69.178001,69.917999,69.917999,19175500,68.905998
9/6/2017,69.900002,70.195999,68.311996,68.905998,68.905998,20457000,70.122002
9/7/2017,69.195999,70.496002,68.690002,70.122002,70.122002,21196000,68.68
9/8/2017,69.797997,69.956001,68.459999,68.68,68.68,16317500,72.737999
9/11/2017,70.269997,72.741997,70,72.737999,72.737999,38335500,72.550003
9/12/2017,72.898003,73.751999,72.080002,72.550003,72.550003,29864500,73.246002
9/13/2017,72.764,73.613998,71.917999,73.246002,73.246002,20926000,75.528
9/14/2017,72.865997,75.592003,72.526001,75.528,75.528,36012500,75.961998
9/15/2017,74.902,76,74.540001,75.961998,75.961998,27102500,77
9/18/2017,76.050003,77.921997,75.536003,77,77,35940000,75.019997
9/19/2017,76,76.477997,74.713997,75.019997,75.019997,32259500,74.781998
9/20/2017,74.599998,75.650002,74.213997,74.781998,74.781998,24595500,73.295998
9/21/2017,74.980003,75.365997,72.902,73.295998,73.295998,23091000,70.218002
9/22/2017,73.297997,73.980003,70.176003,70.218002,70.218002,40797000,68.998001
9/25/2017,70.629997,71.494003,68.575996,68.998001,68.998001,38029500,69.050003
9/26/2017,70.185997,70.248001,68.18,69.050003,69.050003,35781500,68.194
9/27/2017,69.980003,70.297997,68.099998,68.194,68.194,30301500,67.919998
9/28/2017,67.975998,68.550003,67.080002,67.919998,67.919998,26598000,68.220001
9/29/2017,68.372002,68.935997,67.720001,68.220001,68.220001,25535500,68.306
10/2/2017,68.503998,68.739998,67.101997,68.306,68.306,26434000,69.627998
10/3/2017,67.18,69.709999,66.255997,69.627998,69.627998,50768000,71.001999
10/4/2017,70.25,71.723999,69.919998,71.001999,71.001999,40817500,71.066002
10/5/2017,71.199997,71.487999,70.269997,71.066002,71.066002,20858500,71.375999
10/6/2017,70.620003,72.019997,70.449997,71.375999,71.375999,21487500,68.587997
10/9/2017,69.93,70.349998,68.533997,68.587997,68.587997,37468500,71.117996
10/10/2017,69.360001,71.125999,69.106003,71.117996,71.117996,34892500,70.919998
10/11/2017,70.778,71.519997,70.230003,70.919998,70.919998,22504000,71.136002
10/12/2017,70.589996,71.956001,70.528,71.136002,71.136002,20435000,71.113998
10/13/2017,71.396004,71.697998,70.736,71.113998,71.113998,17702500,70.120003
10/16/2017,70.751999,70.896004,69.431999,70.120003,70.120003,26877500,71.150002
10/17/2017,70.181999,71.244003,70.014,71.150002,71.150002,16466500,71.93
10/18/2017,71.194,72.599998,70.825996,71.93,71.93,24695500,70.362
10/19/2017,71.112,71.43,69.639999,70.362,70.362,25309000,69.019997
10/20/2017,70.538002,70.910004,68.867996,69.019997,69.019997,24652000,67.403999
10/23/2017,69.975998,69.989998,67.25,67.403999,67.403999,28736500,67.468002
10/24/2017,67.760002,68.559998,67.232002,67.468002,67.468002,22458500,65.167999
10/25/2017,67.339996,67.5,64.711998,65.167999,65.167999,42970500,65.234001
10/26/2017,65.556,66.045998,64.639999,65.234001,65.234001,25117500,64.174004
10/27/2017,63.950001,64.917999,63.332001,64.174004,64.174004,34898500,64.015999
10/30/2017,63.835999,64.755997,63.450001,64.015999,64.015999,21272000,66.306
10/31/2017,64.045998,66.389999,64.036003,66.306,66.306,28361500,64.216003
11/1/2017,66.449997,66.522003,64.052002,64.216003,64.216003,42286500,59.852001
11/2/2017,60.026001,61.737999,58.526001,59.852001,59.852001,98957000,61.217999
11/3/2017,59.900002,61.25,59.026001,61.217999,61.217999,44470000,60.556
11/6/2017,61.400002,61.5,59.801998,60.556,60.556,32430000,61.209999
11/7/2017,60.203999,61.299999,60.006001,61.209999,61.209999,26471500,60.877998
11/8/2017,61.099998,61.377998,60.259998,60.877998,60.877998,23626500,60.598
11/9/2017,60.5,60.891998,59.259998,60.598,60.598,27235500,60.598
11/10/2017,60.5,61.672001,60.369999,60.598,60.598,23127000,63.080002
11/13/2017,60.026001,63.360001,59.821999,63.080002,63.080002,37924500,61.740002
11/14/2017,63,63.27,61.380001,61.740002,61.740002,28380500,62.259998
11/15/2017,61.202,62.498001,60.299999,62.259998,62.259998,29893500,62.5
11/16/2017,62.798,63.627998,62.259998,62.5,62.5,29110500,63.009998
11/17/2017,65.134003,65.334,62.630001,63.009998,63.009998,68675500,61.748001
11/20/2017,62.757999,63.099998,60.950001,61.748001,61.748001,41238500,63.562
11/21/2017,62.172001,63.646,61.742001,63.562,63.562,36306500,62.52
11/22/2017,63.354,63.484001,62.368,62.52,62.52,24588000,63.110001
11/24/2017,62.757999,63.282001,62.200001,63.110001,63.110001,16220500,63.362
11/27/2017,62.650002,63.467999,61.902,63.362,63.362,22779500,63.509998
11/28/2017,63.271999,64,62.784,63.509998,63.509998,24747500,61.507999
11/29/2017,63.459999,63.599998,60.245998,61.507999,61.507999,43837000,61.77
11/30/2017,61.712002,62.139999,60.908001,61.77,61.77,21758000,61.306
